Instrument Name,Number Of Lots,Stoploss %,Target %,Intermediate Target %,Low Volatility Start Time,Low Volatility Exit Time,Low Volatility Target %
CRUDEOILM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
CRUDEOIL,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
ZINCMINI,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
SILVERMIC,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
ZINC,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
COPPER,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
COPPERM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
LEADMINI,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
NICKEL,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
SILVERM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
GOLDM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
ALUMINI,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
SILVER,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
LEAD,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
NATURALGAS,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
GOLD,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
COTTON,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
COTTONREF,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
GOLDPETAL,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
CPO,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
NICKELM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
MENTHAOIL,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
GOLDGUINEA,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
CARDAMOM,1,0.25,0.5,0.35,09:00:00,14:00:00,0.25
